"","Overall-Rank","Criteria.Ca-Rank","Criteria.Cb-Rank","Criteria.Cc-Rank","Criteria.Cd-Rank","Criteria.Ca-Value","Criteria.Cb-Value","Criteria.Cc-Value","Criteria.Cd-Value"
"MEI+CUT+QUA+PAR",93,605,1,393,1,0.1001,1,0.5125,1
"HAM+LOG+LIW+VAS",94,770,1,233,1,0.1221,1,0.5625,1
"MEI+NON+EIG+NON",95,487,1,517,1,0.086,1,0.475,1
"KNN+CUT+POW+LIW",96,248,1,757,1,0.0264,1,0.3917,1
"MEI+NON+MST+POW",97,84,1,923,1,0.0011,1,0.3167,1
"KNN+LOG+CON+NON",98,754,1,272,1,0.1133,1,0.5417,1
"HAM+CUT+QUA+RAN",99,482,1,549,1,0.0857,1,0.4667,1
"KNN+CUT+LIW+NON",100,367,1,672,1,0.0495,1,0.4208,1
"HAM+NON+SUM+RAN",101,478,542,30,1,0.0854,0.8889,0.7333,1
"MEI+NON+MST+PAR",102,151,1,923,1,0.0041,1,0.3167,1
"MDI+CUT+LIW+NON",103,303,501,272,1,0.036,0.9444,0.5417,1
"KNN+CUT+SUM+RAN",104,503,497,87,1,0.0874,0.9444,0.675,1
"KNN+CUT+QUA+PAR",105,745,1,342,1,0.1115,1,0.5208,1
"KNN+CUT+LIN+RAN",106,607,1,480,1,0.1005,1,0.4833,1
"KNN+CUT+MST+RAN",107,607,1,480,1,0.1005,1,0.4833,1
"MEI+NON+QUA+LEV",108,513,1,589,1,0.0881,1,0.45,1
"MEI+NON+AUT+EIG",109,996,1,119,1,0.2244,1,0.6375,1
"MDI+CUT+CUB+PAR",110,454,1,667,1,0.079,1,0.4292,1
"MEI+CUT+QUA+RAN",111,731,1,393,1,0.1106,1,0.5125,1
"KNN+CUT+MEA+NON",112,363,1,767,1,0.0477,1,0.3833,1
"KNN+LOG+CUB+NON",113,773,1,365,1,0.1228,1,0.5167,1
"HAM+LOG+MED+VAS",114,972,1,179,1,0.213,1,0.5875,1
"MEI+NON+CUB+RAN",115,747,1,408,1,0.1116,1,0.5,1
"MDI+CUT+QUA+PAR",116,572,1,584,1,0.0974,1,0.4542,1
"KNN+CUT+LIN+PAR",117,677,1,480,1,0.1073,1,0.4833,1
"MEI+LOG+CUB+RAN",118,729,1,429,1,0.1103,1,0.4958,1
"HAM+NON+RAN+LIW",119,797,1,365,1,0.1349,1,0.5167,1
"MDI+LOG+CUB+NON",120,528,1,643,1,0.0908,1,0.4292,1
"HAM+CUT+CUB+RAN",121,475,1,697,1,0.0851,1,0.4167,1
"KNN+CUT+POW+NON",122,221,1,952,1,0.0207,1,0.3042,1
"MEI+LOG+QUA+RAN",123,715,1,462,1,0.1097,1,0.4875,1
"MEI+CUT+CUB+RAN",124,743,1,438,1,0.1113,1,0.4917,1
"HAM+CUT+MED+VAS",125,974,1,210,1,0.2154,1,0.5708,1
"HAM+LOG+LIN+PAR",126,1058,1,126,1,0.2651,1,0.6167,1
"HAM+LOG+LIW+AUT",127,957,1,233,1,0.2087,1,0.5625,1
"HAM+CUT+LIW+AUT",128,960,1,233,1,0.2097,1,0.5625,1
"MDI+LOG+QUA+RAN",129,675,1,527,1,0.1072,1,0.4708,1
"MDI+NON+QUA+LEV",130,505,1,697,1,0.0875,1,0.4167,1
"MEI+NON+QUA+NON",131,617,1,589,1,0.1014,1,0.45,1
"HAM+LOG+LIN+AUT",132,1081,1,126,1,0.2776,1,0.6167,1
"HAM+LOG+MST+AUT",133,1081,1,126,1,0.2776,1,0.6167,1
"HAM+LOG+LIW+PAR",134,976,1,233,1,0.2168,1,0.5625,1
"MEI+CUT+EIG+AUT",135,1104,1,107,1,0.2983,1,0.65,1
"KNN+LOG+LIN+VAS",136,1004,1,213,1,0.2304,1,0.5667,1
"KNN+LOG+MST+VAS",137,1004,1,213,1,0.2304,1,0.5667,1
"HAM+LOG+PAR+LIW",138,1014,1,213,1,0.2391,1,0.5667,1
"MEI+NON+CUB+PAR",139,822,1,408,1,0.1463,1,0.5,1
"KNN+LOG+QUA+NON",140,889,1,342,1,0.1781,1,0.5208,1
"KNN+NON+LIN+POW",141,742,1,494,1,0.1113,1,0.4792,1
"KNN+NON+CON+AUT",142,1071,1,170,1,0.2727,1,0.5917,1
"MEI+NON+LIN+POW",143,339,1,919,1,0.0455,1,0.3167,1
"MDI+CUT+QUA+RAN",144,686,1,572,1,0.108,1,0.4542,1
"KNN+LOG+CUB+PAR",145,896,1,365,1,0.1811,1,0.5167,1
"MEI+CUT+AUT+EIG",146,999,1,268,1,0.2269,1,0.5458,1
"MEI+NON+RAN+MEA",147,712,1,555,1,0.1096,1,0.4625,1
"MDI+NON+CUB+RAN",148,716,1,555,1,0.1097,1,0.4625,1
"MEI+LOG+QUA+NON",149,817,1,462,1,0.1424,1,0.4875,1
"MEI+NON+SUM+RAN",150,652,550,79,1,0.104,0.8333,0.6792,1
"MDI+NON+SUM+RAN",151,668,550,65,1,0.1062,0.8333,0.7042,1
"HAM+NON+CUB+NON",152,445,1,847,1,0.0759,1,0.3542,1
"KNN+NON+QUA+PAR",153,1037,1,255,1,0.2586,1,0.55,1
"KNN+LOG+CON+VAS",154,1022,1,272,1,0.2424,1,0.5417,1
"MDI+NON+QUA+NON",155,604,1,697,1,0.0996,1,0.4167,1
"KNN+LOG+PAR+PQN",156,1052,1,255,1,0.2625,1,0.55,1
"MEI+LOG+CUB+PAR",157,884,1,429,1,0.1749,1,0.4958,1
"HAM+NON+QUA+RAN",158,520,1,800,1,0.0893,1,0.3708,1
"KNN+LOG+QUA+PAR",159,981,1,342,1,0.2197,1,0.5208,1
"MEI+NON+RAN+MED",160,724,1,606,1,0.1098,1,0.4458,1
"MEI+NON+QUA+RAN",161,746,1,589,1,0.1115,1,0.45,1
"KNN+NON+LIN+RAN",162,518,497,321,1,0.0892,0.9444,0.525,1
"KNN+NON+MST+RAN",163,518,497,321,1,0.0892,0.9444,0.525,1
"MDI+LOG+CUB+RAN",164,697,1,643,1,0.1088,1,0.4292,1
"MDI+CUT+CUB+RAN",165,710,1,643,1,0.1094,1,0.4292,1
"HAM+NON+CUB+RAN",166,507,1,847,1,0.0877,1,0.3542,1
"MDI+NON+CUB+PAR",167,814,1,555,1,0.1409,1,0.4625,1
"MEI+LOG+VAS+EIG",168,979,1,393,1,0.2179,1,0.5125,1
"KNN+CUT+MEA+RAN",169,614,1,767,1,0.1011,1,0.3833,1
"MDI+NON+QUA+RAN",170,702,1,682,1,0.1089,1,0.4167,1
"KNN+NON+CUB+PAR",171,1029,1,365,1,0.2507,1,0.5167,1
"MEI+NON+LIN+LEV",172,498,1,919,1,0.0869,1,0.3167,1
"MEI+NON+MST+LEV",173,498,1,919,1,0.0869,1,0.3167,1
"MEI+LOG+QUA+PAR",174,962,1,462,1,0.2102,1,0.4875,1
"MEI+NON+MEA+NON",175,624,1,803,1,0.1019,1,0.3708,1
"MEI+CUT+PAR+QUA",176,576,1,860,1,0.0976,1,0.3458,1
"HAM+LOG+QUA+VAS",177,1030,1,408,1,0.2513,1,0.5,1
"MEI+LOG+AUT+EIG",178,1002,1,438,1,0.2291,1,0.4917,1
"HAM+NON+PQN+LEV",179,767,1,682,1,0.1202,1,0.4167,1
"KNN+CUT+MEA+PAR",180,688,1,767,1,0.108,1,0.3833,1
"HAM+LOG+QUA+AUT",181,1053,1,408,1,0.2629,1,0.5,1
"MDI+LOG+QUA+PAR",182,937,1,527,1,0.205,1,0.4708,1
"MEI+CUT+RAN+MED",183,723,1,746,1,0.1098,1,0.3958,1
"MEI+NON+QUA+PAR",184,885,1,589,1,0.1757,1,0.45,1
"MEI+NON+LIN+NON",185,569,1,919,1,0.0972,1,0.3167,1
"MEI+CUT+RAN+MEA",186,711,1,783,1,0.1095,1,0.375,1
"MDI+LOG+CUB+PAR",187,863,1,643,1,0.1686,1,0.4292,1
"MEI+LOG+RAN+MEA",188,707,1,803,1,0.1094,1,0.3708,1
"KNN+LOG+PQN+RAN",189,649,1,871,1,0.1039,1,0.3417,1
"MEI+LOG+RAN+MED",190,719,1,817,1,0.1097,1,0.3667,1
"MEI+NON+PQN+NON",191,616,1,925,1,0.1013,1,0.3125,1
"MEI+NON+MEA+RAN",192,744,1,803,1,0.1114,1,0.3708,1
"MEI+NON+PAR+MED",193,873,1,675,1,0.1715,1,0.4208,1
"MEI+NON+MED+NON",194,613,1,938,1,0.101,1,0.3083,1
"MEI+LOG+PQN+RAN",195,736,1,817,1,0.111,1,0.3667,1
"MDI+NON+QUA+PAR",196,872,1,682,1,0.1708,1,0.4167,1
"MEI+NON+PAR+MEA",197,874,1,682,1,0.1717,1,0.4167,1
"MEI+NON+NON",198,631,1,938,1,0.1022,1,0.3083,1
"MDI+LOG+LIW+VAS",199,1001,1,572,1,0.2281,1,0.4542,1
"MEI+NON+PAR+LOE",200,876,1,710,1,0.1721,1,0.4083,1
"HAM+NON+QUA+LEV",201,784,1,803,1,0.1273,1,0.3708,1
"HAM+NON+QUA+NON",202,790,1,803,1,0.1318,1,0.3708,1
"HAM+CUT+QUA+AUT",203,1070,1,537,1,0.2722,1,0.4667,1
"HAM+NON+SUM+AUT",204,1051,524,34,1,0.2625,0.8889,0.7333,1
"HAM+NON+CUB+PAR",205,787,1,844,1,0.1292,1,0.3542,1
"MEI+NON+LIN+RAN",206,737,1,910,1,0.1111,1,0.3167,1
"MEI+NON+MST+RAN",207,737,1,910,1,0.1111,1,0.3167,1
"KNN+NON+LIN+LEV",208,835,501,321,1,0.1585,0.9444,0.525,1
"KNN+NON+MST+LEV",209,835,501,321,1,0.1585,0.9444,0.525,1
"HAM+NON+AUT+LIW",210,1101,1,571,1,0.2943,1,0.4583,1
"KNN+CUT+SUM+AUT",211,1086,501,87,1,0.281,0.9444,0.675,1
"MEI+NON+MEA+PAR",212,883,1,803,1,0.1743,1,0.3708,1
"HAM+LOG+CUB+AUT",213,1043,1,643,1,0.2602,1,0.4292,1
"MEI+LOG+LIW+VAS",214,1094,1,623,1,0.2866,1,0.4417,1
"MEI+LOG+PAR+QUA",215,936,1,783,1,0.2046,1,0.375,1
"HAM+CUT+CUB+AUT",216,1062,1,682,1,0.2682,1,0.4167,1
"KNN+LOG+NON",217,862,1,892,1,0.1684,1,0.3333,1
"KNN+LOG+PQN+NON",218,893,1,871,1,0.1786,1,0.3417,1
"MEI+NON+LIN+PAR",219,869,1,910,1,0.1697,1,0.3167,1
"MDI+NON+PAR+QUA",220,861,1,938,1,0.1678,1,0.3083,1
"MEI+NON+PAR+QUA",221,877,1,925,1,0.1721,1,0.3125,1
"KNN+NON+PAR+EIG",222,978,1,871,1,0.217,1,0.3417,1
"KNN+LOG+PQN+PAR",223,985,1,871,1,0.2207,1,0.3417,1
"KNN+LOG+PAR+NON",224,967,1,892,1,0.2119,1,0.3333,1
"KNN+NON+PAR+LIW",225,1087,1,783,1,0.2811,1,0.375,1
"KNN+NON+LIN+PAR",226,1050,501,321,1,0.2623,0.9444,0.525,1
"KNN+LOG+PAR+MEA",227,959,1,925,1,0.2097,1,0.3125,1
"HAM+NON+QUA+AUT",228,1090,1,803,1,0.2827,1,0.3708,1
"KNN+NON+LIN+AUT",229,1098,501,321,1,0.288,0.9444,0.525,1
"KNN+NON+MST+AUT",230,1098,501,321,1,0.288,0.9444,0.525,1
"HAM+NON+CUB+AUT",231,1088,1,844,1,0.2815,1,0.3542,1
"MDI+NON+LIW+LEV",232,1021,524,537,1,0.2423,0.8889,0.4667,1
"HAM+CUT+PAR+CON",233,855,550,710,1,0.1671,0.8333,0.4083,1
"HAM+LOG+AUT+LIW",234,1084,501,767,1,0.2804,0.9444,0.3833,1
"MDI+LOG+SUM+RAN",235,331,619,21,1,0.0441,0.7778,0.7375,1
"MDI+LOG+SUM+VAS",236,481,619,21,1,0.0857,0.7778,0.7375,1
"MEI+CUT+POW+EIG",237,181,702,250,1,0.0116,0.6667,0.5542,1
"KNN+NON+RAN+EIG",238,403,702,79,1,0.061,0.6667,0.6792,1
"KNN+CUT+EIG+POW",239,216,1,977,1,0.0199,1,0.2917,1
"HAM+NON+MST+NON",240,75,702,438,1,1e-04,0.6667,0.4917,1
"KNN+CUT+POW+EIG",241,213,1,1023,1,0.0193,1,0.2667,1
"KNN+CUT+PQN+POW",242,220,1,1043,1,0.0204,1,0.2458,1
"HAM+LOG+LIN+NON",243,1138,1,126,1,0.3191,1,0.6167,1
"KNN+CUT+POW+MEA",244,222,1,1052,1,0.0207,1,0.2417,1
"HAM+CUT+POW+EIG",245,223,702,365,1,0.0208,0.6667,0.5167,1
"KNN+CUT+EIG+NON",246,334,1,980,1,0.045,1,0.2875,1
"KNN+CUT+NON",247,350,1,980,1,0.0463,1,0.2875,1
"HAM+LOG+LIW+NON",248,1115,1,233,1,0.3047,1,0.5625,1
"HAM+CUT+LEV+LIW",249,463,702,188,1,0.0833,0.6667,0.5792,1
"MDI+LOG+SUM+AUT",250,761,587,21,1,0.115,0.7778,0.7375,1
"KNN+NON+CON+VAS",251,1209,1,170,1,0.3439,1,0.5917,1
"KNN+LOG+LIN+AUT",252,1192,1,213,1,0.3345,1,0.5667,1
"KNN+LOG+MST+AUT",253,1192,1,213,1,0.3345,1,0.5667,1
"MEI+LOG+VAS+PQN",254,1204,1,213,1,0.3409,1,0.5667,1
"KNN+LOG+LIN+PAR",255,1218,1,213,1,0.3519,1,0.5667,1
"KNN+LOG+SUM+LEV",256,664,702,73,1,0.1059,0.6667,0.6875,1
"MDI+LOG+SUM+LEV",257,832,587,21,1,0.1543,0.7778,0.7375,1
"KNN+CUT+POW+MED",258,219,1,1220,1,0.0204,1,0.1875,1
"KNN+NON+QUA+AUT",259,1187,1,255,1,0.3331,1,0.55,1
"MEI+LOG+MEA+VAS",260,1153,1,292,1,0.3232,1,0.5375,1
"KNN+CUT+PQN+NON",261,343,1,1106,1,0.0458,1,0.2208,1
"MEI+LOG+EIG+AUT",262,1112,1,365,1,0.3031,1,0.5167,1
"MEI+LOG+EIG+VAS",263,1120,1,365,1,0.3081,1,0.5167,1
"KNN+LOG+QUA+VAS",264,1147,1,342,1,0.3215,1,0.5208,1
"MEI+CUT+EIG+POW",265,179,1178,136,1,0.0114,0.6667,0.6167,1
"KNN+NON+CON+LEV",266,1343,1,170,1,0.4486,1,0.5917,1
"MEI+CUT+LEV+EIG",267,238,1178,100,1,0.0224,0.6667,0.6583,1
"MEI+CUT+EIG+NON",268,236,1178,107,1,0.0224,0.6667,0.65,1
"MEI+CUT+EIG+LEV",269,240,1178,107,1,0.0225,0.6667,0.65,1
"HAM+CUT+LOE+POW",270,239,702,589,1,0.0224,0.6667,0.45,1
"MEI+LOG+AUT+PQN",271,1317,1,213,1,0.3873,1,0.5667,1
"KNN+LOG+QUA+AUT",272,1188,1,342,1,0.3332,1,0.5208,1
"KNN+CUT+QUA+AUT",273,1191,1,342,1,0.3343,1,0.5208,1
"MEI+LOG+MEA+AUT",274,1242,1,292,1,0.3567,1,0.5375,1
"MEI+CUT+LIW+RAN",275,645,702,197,1,0.1029,0.6667,0.575,1
"HAM+CUT+AUT+LIW",276,1107,1,438,1,0.3003,1,0.4917,1
"KNN+CUT+CUB+AUT",277,1181,1,365,1,0.3312,1,0.5167,1
"KNN+LOG+CUB+AUT",278,1182,1,365,1,0.3316,1,0.5167,1
"KNN+NON+CUB+AUT",279,1185,1,365,1,0.3326,1,0.5167,1
"MDI+CUT+EIG+NON",280,241,1178,141,1,0.0231,0.6667,0.6125,1
"MDI+CUT+EIG+LEV",281,242,1178,141,1,0.0233,0.6667,0.6125,1
"MDI+CUT+LEV+EIG",282,243,1178,141,1,0.0234,0.6667,0.6125,1
"KNN+LOG+LIN+NON",283,1348,1,213,1,0.4648,1,0.5667,1
"MEI+LOG+CON+NON",284,597,702,272,1,0.0989,0.6667,0.5417,1
"MEI+NON+POW+EIG",285,291,1178,107,1,0.0324,0.6667,0.65,1
"HAM+CUT+POW+LIW",286,249,1178,149,1,0.0266,0.6667,0.6083,1
"KNN+LOG+CUB+VAS",287,1213,1,365,1,0.3456,1,0.5167,1
"KNN+CUT+LEV+EIG",288,252,1178,168,1,0.0271,0.6667,0.5958,1
"MDI+CUT+LIW+RAN",289,625,702,272,1,0.1019,0.6667,0.5417,1
"HAM+LOG+MEA+RAN",290,430,1,1168,1,0.0675,1,0.2083,1
"MDI+CUT+PAR+QUA",291,561,1,1043,1,0.0958,1,0.2458,1
"MEI+CUT+LIW+POW",292,209,1178,228,1,0.0165,0.6667,0.5667,1
"KNN+CUT+LIN+AUT",293,1143,1,480,1,0.3209,1,0.4833,1
"KNN+CUT+MST+AUT",294,1143,1,480,1,0.3209,1,0.4833,1
"MDI+LOG+CON+RAN",295,735,702,188,1,0.1109,0.6667,0.5792,1
"MEI+LOG+CON+RAN",296,653,702,272,1,0.104,0.6667,0.5417,1
"KNN+LOG+RAN+EIG",297,404,1178,51,1,0.0613,0.6667,0.7208,1
"MEI+NON+PAR+EIG",298,762,702,170,1,0.1155,0.6667,0.5917,1
"MEI+LOG+VAS+LIW",299,1331,1,306,1,0.4141,1,0.5333,1
"MEI+LOG+QUA+VAS",300,1178,1,462,1,0.3299,1,0.4875,1
"MEI+LOG+CUB+VAS",301,1217,1,429,1,0.3515,1,0.4958,1
"KNN+CUT+MED+NON",302,341,1,1305,1,0.0457,1,0.1667,1
"MDI+NON+LEV+EIG",303,392,702,555,1,0.0586,0.6667,0.4625,1
"KNN+LOG+AUT+EIG",304,918,702,34,1,0.1996,0.6667,0.7333,1
"HAM+CUT+LIW+POW",305,244,1178,233,1,0.0236,0.6667,0.5625,1
"KNN+NON+LOE+LEV",306,646,702,310,1,0.1031,0.6667,0.5292,1
"MEI+NON+LEV+EIG",307,390,1178,98,1,0.0584,0.6667,0.6667,1
"MEI+CUT+LIW+LEV",308,292,1178,197,1,0.0329,0.6667,0.575,1
"HAM+LOG+EIG+VAS",309,1325,1,342,1,0.3976,1,0.5208,1
"MEI+CUT+LIW+NON",310,295,1178,197,1,0.0338,0.6667,0.575,1
"MEI+LOG+VAS+MEA",311,1189,1,480,1,0.3336,1,0.4833,1
"KNN+LOG+SUM+RAN",312,419,1178,73,1,0.0658,0.6667,0.6875,1
"HAM+NON+LIW+PAR",313,820,702,153,1,0.1456,0.6667,0.6083,1
"KNN+CUT+PAR+LOE",314,651,1,1023,1,0.1039,1,0.2667,1
"KNN+NON+LOE+RAN",315,663,702,310,1,0.1058,0.6667,0.5292,1
"HAM+LOG+RAN+EIG",316,406,1178,94,1,0.0624,0.6667,0.6708,1
"MEI+LOG+RAN+PQN",317,764,702,213,1,0.1182,0.6667,0.5667,1
"KNN+CUT+RAN+EIG",318,400,1178,106,1,0.0609,0.6667,0.6542,1
"KNN+LOG+SUM+AUT",319,909,702,73,1,0.1943,0.6667,0.6875,1
"MEI+CUT+QUA+AUT",320,1293,1,393,1,0.3664,1,0.5125,1
"KNN+CUT+PAR+MEA",321,650,1,1047,1,0.1039,1,0.2458,1
"MEI+NON+AUT+LOE",322,1261,1,438,1,0.3605,1,0.4917,1
"HAM+CUT+MED+NON",323,319,1178,204,1,0.0412,0.6667,0.5708,1
"HAM+LOG+AUT+EIG",324,905,702,95,1,0.1866,0.6667,0.6708,1
"MEI+CUT+MED+RAN",325,705,1,998,1,0.1093,1,0.2833,1
"MEI+LOG+MED+RAN",326,696,1,1009,1,0.1088,1,0.275,1
"MEI+NON+CUB+AUT",327,1299,1,408,1,0.3683,1,0.5,1
"KNN+NON+AUT+EIG",328,916,702,95,1,0.1985,0.6667,0.6708,1
"MEI+NON+LIW+RAN",329,670,702,342,1,0.1063,0.6667,0.5208,1
"MEI+LOG+CUB+AUT",330,1285,1,429,1,0.3646,1,0.4958,1
"MDI+NON+POW+EIG",331,297,1178,247,1,0.0341,0.6667,0.5583,1
"KNN+CUT+AUT+EIG",332,915,702,107,1,0.1978,0.6667,0.65,1
"MEI+CUT+EIG+PAR",333,440,1178,107,1,0.0754,0.6667,0.65,1
"MDI+LOG+VAS+MEA",334,1190,1,537,1,0.3339,1,0.4667,1
"HAM+NON+LEV+EIG",335,698,1,1031,1,0.1088,1,0.2583,1
"MDI+CUT+RAN+MED",336,693,1,1037,1,0.1085,1,0.25,1
"MDI+CUT+PAR+LIW",337,782,702,250,1,0.1262,0.6667,0.5542,1
"MEI+CUT+CUB+AUT",338,1298,1,438,1,0.3675,1,0.4917,1
"MEI+LOG+EIG+NON",339,673,702,365,1,0.1065,0.6667,0.5167,1
"KNN+LOG+RAN+PQN",340,783,702,255,1,0.1264,0.6667,0.55,1
"MEI+NON+AUT+MED",341,1279,1,462,1,0.3624,1,0.4875,1
"HAM+NON+LIW+RAN",342,417,1178,149,1,0.0655,0.6667,0.6083,1
"MEI+LOG+QUA+AUT",343,1283,1,462,1,0.3636,1,0.4875,1
"MEI+CUT+PAR+EIG",344,431,1178,149,1,0.0683,0.6667,0.6083,1
"MDI+LOG+QUA+AUT",345,1230,1,527,1,0.3548,1,0.4708,1
"HAM+LOG+LIN+VAS",346,930,702,126,1,0.2033,0.6667,0.6167,1
"HAM+LOG+MST+VAS",347,930,702,126,1,0.2033,0.6667,0.6167,1
"HAM+CUT+RAN+EIG",348,402,1178,179,1,0.0609,0.6667,0.5875,1
"MDI+CUT+LIW+LEV",349,293,1178,289,1,0.0333,0.6667,0.5417,1
"MDI+LOG+RAN+LIW",350,752,702,306,1,0.1126,0.6667,0.5333,1
"KNN+NON+MEA+RAN",351,383,619,759,1,0.0545,0.7778,0.3875,1
"MDI+NON+LIN+RAN",352,708,1,1053,1,0.1094,1,0.2375,1
"MDI+NON+MST+RAN",353,708,1,1053,1,0.1094,1,0.2375,1
"MDI+NON+RAN+EIG",354,420,1178,165,1,0.066,0.6667,0.6,1
"KNN+LOG+POW+EIG",355,407,1178,178,1,0.0624,0.6667,0.5891,1
"KNN+CUT+PQN+PAR",356,655,1,1109,1,0.1045,1,0.2208,1
"MDI+CUT+EIG+PAR",357,447,1178,141,1,0.0772,0.6667,0.6125,1
"KNN+LOG+LIW+NON",358,1122,1,643,1,0.3088,1,0.4292,1
"MEI+NON+SUM+AUT",359,1139,550,79,1,0.32,0.8333,0.6792,1
"HAM+NON+LOE+NON",360,800,1,970,1,0.1357,1,0.2958,1
"HAM+NON+MST+POW",361,112,1457,203,1,0.0016,0.6667,0.5708,1
"HAM+NON+LIN+POW",362,391,1178,204,1,0.0585,0.6667,0.5708,1
"KNN+LOG+EIG+RAN",363,448,1178,149,1,0.0779,0.6667,0.6083,1
"MEI+LOG+PAR+EIG",364,824,702,250,1,0.1467,0.6667,0.5542,1
"MDI+LOG+CON+PAR",365,886,702,188,1,0.1769,0.6667,0.5792,1
"MEI+CUT+POW+PQN",366,207,1178,393,1,0.0163,0.6667,0.5125,1
"MEI+LOG+VAS+MED",367,1149,1,633,1,0.3221,1,0.4375,1
"MEI+NON+AUT+MEA",368,1268,1,517,1,0.3616,1,0.475,1
"MDI+NON+SUM+AUT",369,1171,550,65,1,0.3283,0.8333,0.7042,1
"HAM+LOG+LIN+RAN",370,472,1178,136,1,0.0847,0.6667,0.6167,1
"HAM+LOG+MST+RAN",371,472,1178,136,1,0.0847,0.6667,0.6167,1
"KNN+LOG+MEA+RAN",372,644,1,1147,1,0.1029,1,0.2125,1
"HAM+CUT+AUT+EIG",373,903,702,188,1,0.1839,0.6667,0.5792,1
"HAM+LOG+MED+PAR",374,912,702,179,1,0.1967,0.6667,0.5875,1
"HAM+LOG+MED+RAN",375,439,1178,179,1,0.0754,0.6667,0.5875,1
"MEI+LOG+MEA+NON",376,803,702,292,1,0.1371,0.6667,0.5375,1
"KNN+LOG+CON+PAR",377,825,702,272,1,0.1468,0.6667,0.5417,1
"HAM+NON+LIW+AUT",378,946,702,153,1,0.2065,0.6667,0.6083,1
"HAM+LOG+MED+NON",379,922,702,179,1,0.2003,0.6667,0.5875,1
"KNN+NON+LOE+POW",380,379,1178,247,1,0.0524,0.6667,0.5583,1
"HAM+NON+LIW+NON",381,952,702,153,1,0.2079,0.6667,0.6083,1
"HAM+NON+POW+EIG",382,384,1178,247,1,0.0547,0.6667,0.5583,1
"MDI+LOG+CON+VAS",383,1124,501,188,1,0.3132,0.9444,0.5792,1
"MDI+NON+CUB+AUT",384,1257,1,555,1,0.3594,1,0.4625,1
"MEI+NON+AUT+QUA",385,1296,1,517,1,0.3665,1,0.475,1
"MEI+CUT+PAR+PQN",386,622,702,494,1,0.1017,0.6667,0.4792,1
"MDI+CUT+QUA+AUT",387,1245,1,572,1,0.357,1,0.4542,1
"MEI+LOG+CON+PAR",388,846,702,272,1,0.163,0.6667,0.5417,1
"KNN+LOG+VSN",389,1110,1,713,1,0.3018,1,0.4042,1
"KNN+NON+LEV+EIG",390,418,1178,233,1,0.0657,0.6667,0.5625,1
"MEI+NON+EIG+RAN",391,611,702,517,1,0.1007,0.6667,0.475,1
"HAM+NON+POW+LIW",392,449,1178,204,1,0.0779,0.6667,0.5708,1
"HAM+CUT+MED+RAN",393,452,1178,204,1,0.0788,0.6667,0.5708,1
"HAM+CUT+POW+PQN",394,250,1178,408,1,0.0267,0.6667,0.5,1
"HAM+NON+PAR+EIG",395,826,702,310,1,0.1481,0.6667,0.5292,1
"MEI+CUT+AUT+QUA",396,1286,1,555,1,0.3646,1,0.4625,1
"MDI+LOG+CUB+VAS",397,1203,1,643,1,0.34,1,0.4292,1
"MDI+CUT+EIG+RAN",398,537,1178,141,1,0.0917,0.6667,0.6125,1
"KNN+CUT+VSN",399,1127,1,736,1,0.3147,1,0.4,1
"MDI+NON+AUT+EIG",400,984,702,179,1,0.2204,0.6667,0.5875,1
"MEI+NON+VSN",401,1119,1,746,1,0.3074,1,0.3958,1
"MEI+NON+PAR+LIW",402,898,1,970,1,0.1824,1,0.2958,1
"HAM+CUT+QUA+PAR",403,632,702,537,1,0.1022,0.6667,0.4667,1
"MDI+NON+LIW+RAN",404,641,702,537,1,0.1025,0.6667,0.4667,1
"KNN+LOG+EIG+AUT",405,1025,702,153,1,0.2464,0.6667,0.6083,1
"HAM+LOG+MED+AUT",406,1003,702,179,1,0.2292,0.6667,0.5875,1
"MDI+LOG+CUB+AUT",407,1243,1,643,1,0.3567,1,0.4292,1
"MEI+CUT+AUT+LOE",408,1249,1,639,1,0.3579,1,0.4333,1
"MEI+NON+QUA+AUT",409,1302,1,589,1,0.3687,1,0.45,1
"HAM+NON+RAN+EIG",410,395,1178,321,1,0.0594,0.6667,0.525,1
"KNN+CUT+RAN+PQN",411,763,702,429,1,0.1171,0.6667,0.4958,1
"MDI+CUT+CUB+AUT",412,1251,1,643,1,0.3583,1,0.4292,1
"MDI+LOG+VAS+MED",413,1150,1,746,1,0.3224,1,0.3958,1
"KNN+CUT+PAR+PQN",414,768,702,429,1,0.1208,0.6667,0.4958,1
"HAM+LOG+PAR+EIG",415,906,702,292,1,0.1899,0.6667,0.5375,1
"HAM+NON+LIN+NON",416,760,702,438,1,0.1149,0.6667,0.4917,1
"MEI+LOG+PAR+PQN",417,987,702,213,1,0.221,0.6667,0.5667,1
"MEI+CUT+AUT+MEA",418,1266,1,643,1,0.3612,1,0.4292,1
"MEI+LOG+VSN",419,1196,1,713,1,0.3356,1,0.4042,1
"MDI+LOG+RAN+MED",420,690,1,1220,1,0.1083,1,0.1875,1
"MEI+LOG+EIG+PAR",421,849,702,365,1,0.1649,0.6667,0.5167,1
"KNN+NON+LEV+PQN",422,609,702,606,1,0.1006,0.6667,0.4458,1
"KNN+CUT+MEA+AUT",423,1151,1,767,1,0.3228,1,0.3833,1
"HAM+CUT+MED+PAR",424,540,1178,204,1,0.0925,0.6667,0.5708,1
"HAM+CUT+PQN+PAR",425,541,702,682,1,0.0928,0.6667,0.4167,1
