"","Overall-Rank","Criteria.Ca-Rank","Criteria.Cb-Rank","Criteria.Cc-Rank","Criteria.Cd-Rank","Criteria.Ca-Value","Criteria.Cb-Value","Criteria.Cc-Value","Criteria.Cd-Value"
"MDI+NON+LEV+SUM",1570,1622,660,117,1572,13.5415,0.7222,0.6417,0.6667
"MDI+CUT+AUT+SUM",1571,1670,702,1604,1,87.2464,0.6667,0.025,1
"MDI+CUT+PAR+SUM",1572,1631,660,165,1620,19.3522,0.7222,0.6,0.5
"MEI+LOG+VAS+SUM",1573,1674,660,250,1572,96.4777,0.7222,0.5542,0.6667
"KNN+LOG+VAS+SUM",1574,1680,587,292,1618,375.7526,0.7778,0.5375,0.5556
"MEI+LOG+LEV+MED",1575,1517,1178,1502,1,2.8738,0.6667,0.0833,1
"HAM+NON+LEV+LIN",1576,1400,1620,1340,1,0.9823,0.4444,0.15,1
"HAM+LOG+AUT+LIN",1577,1396,1541,1431,1,0.82,0.5,0.1,1
"MDI+NON+AUT+SUM",1578,1665,1178,1596,1,80.7427,0.6667,0.0333,1
"MDI+LOG+VAS+LIN",1579,1415,1541,1502,1,1.3518,0.5,0.0833,1
"KNN+LOG+LEV+LIN",1580,1630,1526,1398,1,18.0483,0.5556,0.1208,1
"MDI+LOG+LEV+NON",1581,1527,1457,1619,1,3.3297,0.6667,0.0083,1
"KNN+NON+LEV+MST",1582,174,1541,1402,1583,0.0101,0.5,0.1167,0.6667
"MEI+NON+VAS+MST",1583,123,1587,1484,1561,0.002,0.4444,0.0875,0.8333
"MDI+LOG+LEV+MST",1584,148,1480,1524,1604,0.0033,0.6111,0.075,0.6111
"MDI+NON+VAS+MST",1585,121,1587,1520,1553,0.002,0.4444,0.0792,0.8889
"MEI+CUT+VAS+MST",1586,127,1587,1524,1569,0.0021,0.4444,0.075,0.7778
"KNN+LOG+VAS+MST",1587,113,1530,1588,1583,0.0016,0.5556,0.0458,0.6667
"KNN+CUT+LEV+MST",1588,158,1530,1512,1623,0.0061,0.5556,0.0792,0.4722
"KNN+CUT+PAR+MST",1589,161,1480,1561,1625,0.0067,0.6111,0.0625,0.1944
"KNN+CUT+LEV+LIN",1590,212,1530,1512,1623,0.0191,0.5556,0.0792,0.4722
"KNN+CUT+PAR+LIN",1591,494,1490,1561,1626,0.0864,0.6111,0.0625,0.1944
"KNN+LOG+VAS+LIN",1592,910,1530,1588,1583,0.1944,0.5556,0.0458,0.6667
"MEI+LOG+LEV+LIN",1593,1463,1490,1557,1500,2.1826,0.6111,0.0667,0.9722
"MEI+NON+AUT+SUM",1594,1663,587,1604,1563,74.2772,0.7778,0.025,0.8333
"MEI+LOG+LIN+LEV",1595,1615,1178,1539,1530,9.1689,0.6667,0.0708,0.8889
"MEI+LOG+MST+LEV",1596,1615,1178,1539,1530,9.1689,0.6667,0.0708,0.8889
"MDI+NON+VAS+LIN",1597,1364,1597,1512,1530,0.5482,0.4444,0.0792,0.8889
"MEI+NON+VAS+LIN",1598,1349,1620,1484,1563,0.4728,0.4444,0.0875,0.8333
"MEI+CUT+VAS+LIN",1599,1352,1620,1524,1567,0.4831,0.4444,0.075,0.7778
"HAM+LOG+LEV+LIN",1600,1407,1620,1390,1,1.206,0.4444,0.1292,1
"HAM+CUT+VAS+LIN",1601,1399,1597,1462,1,0.9549,0.4444,0.0958,1
"HAM+LOG+PAR+LIN",1602,1446,1597,1591,1,1.9635,0.4444,0.0417,1
"KNN+CUT+VAS+MST",1603,145,1597,1512,1620,0.0029,0.4444,0.0792,0.5
"KNN+NON+VAS+MST",1604,140,1587,1587,1603,0.0027,0.4444,0.0458,0.6389
"MDI+LOG+MST+NON",1605,226,1597,1567,1589,0.0212,0.4444,0.0542,0.6389
"MDI+LOG+LIN+RAN",1606,380,1597,1567,1589,0.0534,0.4444,0.0542,0.6389
"MDI+LOG+MST+RAN",1607,380,1597,1567,1589,0.0534,0.4444,0.0542,0.6389
"MDI+LOG+LIN+VAS",1608,413,1597,1567,1589,0.0638,0.4444,0.0542,0.6389
"MDI+LOG+MST+VAS",1609,413,1597,1567,1589,0.0638,0.4444,0.0542,0.6389
"MDI+LOG+MST+PAR",1610,415,1597,1567,1589,0.0638,0.4444,0.0542,0.6389
"MEI+CUT+AUT+SUM",1611,1666,545,1607,1589,80.9362,0.8333,0.0167,0.6389
"MEI+LOG+AUT+SUM",1612,1667,550,1604,1588,82.8348,0.8333,0.025,0.6389
"MDI+LOG+LIN+AUT",1613,1016,1597,1567,1589,0.2416,0.4444,0.0542,0.6389
"MDI+LOG+MST+AUT",1614,1016,1597,1567,1589,0.2416,0.4444,0.0542,0.6389
"MEI+LOG+VAS+LIN",1615,1410,1597,1468,1500,1.2724,0.4444,0.0917,0.9722
"KNN+NON+LEV+LIN",1616,1398,1541,1399,1572,0.8993,0.5,0.1167,0.6667
"HAM+NON+AUT+CON",1617,1395,1541,1484,1570,0.82,0.5,0.0875,0.6944
"KNN+NON+VAS+LIN",1618,1318,1597,1588,1589,0.3881,0.4444,0.0458,0.6389
"MDI+CUT+CON+LEV",1619,1418,1597,1567,1530,1.4523,0.4444,0.0542,0.8889
"MDI+LOG+LIN+PAR",1620,1376,1597,1567,1589,0.6051,0.4444,0.0542,0.6389
"MDI+LOG+LEV+LIN",1621,1495,1508,1524,1605,2.6279,0.6111,0.075,0.6111
"KNN+CUT+VAS+LIN",1622,1409,1597,1512,1620,1.2563,0.4444,0.0792,0.5
"MDI+LOG+LIN+NON",1623,1439,1597,1567,1589,1.912,0.4444,0.0542,0.6389
"MDI+LOG+LIN+LEV",1624,1554,1597,1567,1589,4.6583,0.4444,0.0542,0.6389
"MDI+LOG+MST+LEV",1625,1554,1597,1567,1589,4.6583,0.4444,0.0542,0.6389
"HAM+LOG+POW+EIG",1626,393,1,1694,1,0.059,1,NA,1
"MDI+LOG+RAN+CUB",1627,1,1694,1694,1694,0,NA,NA,NA
"HAM+LOG+RAN+CUB",1628,2,1694,1694,1694,0,NA,NA,NA
"MEI+LOG+RAN+CUB",1629,3,1694,1694,1694,0,NA,NA,NA
"KNN+LOG+RAN+CUB",1630,4,1694,1694,1694,0,NA,NA,NA
"HAM+CUT+POW+CUB",1631,5,1694,1694,1694,0,NA,NA,NA
"HAM+NON+POW+CUB",1632,6,1694,1694,1694,0,NA,NA,NA
"HAM+CUT+LEV+CUB",1633,7,1694,1694,1694,0,NA,NA,NA
"HAM+NON+LEV+CUB",1634,8,1694,1694,1694,0,NA,NA,NA
"MDI+LOG+PAR+CUB",1635,9,1694,1694,1694,0,NA,NA,NA
"MEI+LOG+PAR+CUB",1636,10,1694,1694,1694,0,NA,NA,NA
"KNN+CUT+POW+CUB",1637,11,1694,1694,1694,0,NA,NA,NA
"KNN+CUT+LEV+CUB",1638,12,1694,1694,1694,0,NA,NA,NA
"KNN+NON+LEV+CUB",1639,13,1694,1694,1694,0,NA,NA,NA
"HAM+LOG+PAR+CUB",1640,14,1694,1694,1694,0,NA,NA,NA
